[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 3

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 4

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 5
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 5

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 6
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 6

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 7
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 7

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 8
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 8

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 9
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 9

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 10
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 10

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 1
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 1

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 1
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 1

[ENTER] NodeID: Node0, IP: 10.50.7.227, Clock: 2
[EXIT]  NodeID: Node0, IP: 10.50.7.227, Clock: 2

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 4
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 8
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 8

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 10
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 10

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 2
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 2

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 4
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 4

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 6
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 6

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 8
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 8

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 10
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 10

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 12
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 12

[ENTER] NodeID: Node0, IP: 10.100.55.203, Clock: 2
[EXIT]  NodeID: Node0, IP: 10.100.55.203, Clock: 2

[ENTER] NodeID: Node1, IP: 10.53.37.140, Clock: 4
[EXIT]  NodeID: Node1, IP: 10.53.37.140, Clock: 4

